stair1,,ascentVelocity,ascentDistance,ascentTime,descentVelocity,length,verticalDistance,totalDistance,maxVelocity,maxVelTime,maxVelSlope,lastY,maxY,startDeltaTimeVelocity,total count
,avg,0.501092334,0.269152754,0.5388835,0.108903067,56.5,0.258519928,0.415996511,0.902730745,0.166665,5.439944709,1.562696915,1.573329741,1,20
,SD,0.042289362,0.015909207,0.028867225,0.054095392,1.962141687,0.01918487,0.019032789,0.125990544,0.01054082,0.840462663,0.092943377,0.08771965,0,
Head 2,,,,,,,,,,,,,,,
,avg,0.518547781,0.297704359,0.5755498,0.006211394,53.75,0.297370844,0.428537958,0.903728588,0.1499985,6.048099328,1.840555347,1.840888862,1,20
,SD,0.033317582,0.011760125,0.028020876,0.011163658,2.321098878,0.012029488,0.0131679,0.055139981,0.007453485,0.580453866,0.080703514,0.081033129,0,
First Foot,,,,,,,,,,,,,,,
,avg,0.993677499,0.331367342,0.33721885,0.296691949,40.7,0.296781674,0.540938956,1.655250414,0.19833135,8.409495161,0.298469208,0.333054876,0.551102773,20
,SD,0.145277039,0.029013426,0.031870369,0.108837042,3.226453161,0.016631837,0.055394407,0.208756915,0.019332821,1.261016535,0.016641316,0.02915775,0.17015815,
Second Foot,,,,,,,,,,,,,,,
,avg,1.143725855,0.577525526,0.5055505,0.277351963,56.5,0.54226754,0.883195022,2.389467476,0.34388545,6.989866978,0.547180598,0.582438584,1.912016966,20
,SD,0.041369459,0.00926325,0.018425509,0.090993381,1.962141687,0.013095775,0.033109947,0.089457504,0.027548783,0.574148945,0.011268263,0.010095509,0.846623063,
Last Foot,,,,,,,,,,,,,,,
,avg,0.816698528,0.355824595,0.43610675,0.386334589,53.75,0.294234367,0.619568742,1.399349745,0.29610815,4.740183644,0.553444568,0.615034796,1.098934727,20
,SD,0.046628447,0.019159704,0.017524058,0.131644305,2.321098878,0.005750869,0.037478307,0.117424678,0.021451713,0.417781771,0.007807182,0.024366945,0.262155142,
Net speed(second),,,,,,,,,,,,,,,
,avg,0.63476252,0.311532869,0.4922173,0.195868508,56.5,0.283747613,0.588383481,1.832866183,0.44499555,4.357012128,0.315498965,0.34328422,1.423130854,20
,SD,0.062146555,0.023240293,0.020816452,0.084962206,1.962141687,0.011101748,0.036989659,0.124598281,0.105377453,1.084604373,0.023191916,0.035056674,0.717019362,
Net speed(last),,,,,,,,,,,,,,,
,avg,0.22642617,0.090627133,0.39944045,0.48416882,53.75,-0.003136477,0.381267032,0.796564204,0.2955526,2.679929171,0.043904502,0.137668112,0.558322852,20
,SD,0.033852551,0.015482561,0.019712242,0.156579108,2.321098878,0.012639411,0.061676409,0.161454608,0.021487651,0.425505483,0.023143256,0.047749654,0.276614746,
